IdealT,OtsuT,KittlerT,LloydT,SungT,RidlerT,HuangT,RameshT,Li1T,Li2T,BrinkT,KapurT,SahooT,ShanbhagT,YenT,TsaiT
0.01568628,0.433333,0.037255,0.312939,0.358824,0.43315,0.335294,0.798039,0.259439,0.362745,0.778431,0.845098,0.830985,0.860784,0.860784,0.719608
0.5411765,0.531373,0.641176,0.253633,0.605882,0.534522,0.633333,0.527451,0.474224,0.503922,0.558824,0.637255,0.651961,0.417647,0.668627,0.531373
0,0.272549,0.005882,0.039063,0.276471,0.281547,0.296078,0.641176,0.261463,0.264706,0.362745,0.723529,0.696079,0.288235,0.723529,0.260784
0.8980392,0.633333,0.986275,0.515114,0.868627,0.638937,0.601961,0.637255,0.556931,0.598039,0.841176,0.962745,0.954053,0.221569,0.962745,0.570588
0.5803922,0.758824,0.841176,0.846445,0.786275,0.759051,0.852941,0.366667,0.750916,0.754902,0.460784,0.366667,0.393877,0.398039,0.362745,0.64902
0.2392157,0.590196,0.62549,0.707979,0.594118,0.588962,0.692157,0.586275,0.564924,0.57451,0.35098,0.256863,0.275145,0.515686,0.241176,0.445098
0.6509804,0.629412,0.821569,0.422768,0.739216,0.630189,0.652941,0.558824,0.567292,0.598039,0.558824,0.790196,0.768073,0.260784,0.809804,0.590196
0.6588235,0.55098,0.958824,0.351677,0.833333,0.732024,0.9,0.598039,0.703702,0.492157,0.696078,0.696078,0.67612,0.182353,0.696078,0.696078
0.3882353,0.488235,0.590196,0.301629,0.55098,0.489837,0.547059,0.507843,0.416623,0.452941,0.554902,0.62549,0.63665,0.217647,0.64902,0.566667
0.2,0.268627,0.17451,0.148276,0.272549,0.27338,0.280392,0.511765,0.269652,0.264706,0.358824,0.205882,0.205621,0.276471,0.205882,0.256863
0.9921569,0.633333,0.986275,0.472096,0.931373,0.634999,0.813725,0.633333,0.53037,0.566667,0.809804,0.994118,0.967541,0.190196,0.994118,0.605882
0.09019608,0.139216,0.1,0.073426,0.147059,0.143519,0.190196,0.260784,0.136809,0.139216,0.24902,0.123529,0.122529,0.143137,0.115686,0.147059
0.3686275,0.480392,0.55098,0.399091,0.641176,0.481884,0.711765,0.480392,0.425917,0.452941,0.558824,0.554902,0.554902,0.492157,0.554902,0.613725
0,0.288235,0.005882,0.138361,0.386275,0.293907,0.484314,0.723529,0.183528,0.24902,0.366667,0.821569,0.457838,0.464706,0.821569,0.382353
0.7176471,0.723529,0.590196,0.575977,0.731373,0.733322,0.731373,0.445098,0.735759,0.723529,0.62549,0.570588,0.613717,0.519608,0.570588,0.735294
0.4117647,0.511765,0.539216,0.249277,0.531373,0.512361,0.55098,0.319608,0.508143,0.507843,0.401961,0.343137,0.402815,0.492157,0.405882,0.464706
0.3529412,0.488235,0.339216,0.27727,0.519608,0.497729,0.535294,0.370588,0.485577,0.484314,0.398039,0.362745,0.362523,0.296078,0.358824,0.464706
0.6392157,0.543137,0.962745,0.352045,0.743137,0.542473,0.896078,0.684314,0.412971,0.480392,0.680392,0.680392,0.666572,0.1,0.680392,0.680392
0.6901961,0.727451,0.676471,0.617952,0.735294,0.731866,0.75098,0.464706,0.72811,0.723529,0.547059,0.692157,0.692157,0.707843,0.692157,0.739216
0.2901961,0.578431,0.445098,0.431371,0.731373,0.582882,0.578431,0.605882,0.51036,0.535294,0.633333,0.688235,0.711987,0.62549,0.719608,0.703922
0.6470588,0.637255,0.656863,0.485858,0.656863,0.637576,0.660784,0.401961,0.630457,0.633333,0.488235,0.445098,0.666572,0.456863,0.680392,0.613725
0,0.641176,0.005882,0.108432,0.656863,0.642486,0.684314,0.382353,0.622384,0.62549,0.413725,0.609804,0.596989,0.637255,0.62549,0.57451
0.2627451,0.539216,0.731373,0.465789,0.770588,0.679917,0.872549,0.598039,0.468458,0.5,0.617647,0.731373,0.730253,0.64902,0.731373,0.707843
0.772549,0.743137,0.880392,0.579057,0.829412,0.744764,0.758824,0.590196,0.721681,0.727451,0.609804,0.82549,0.842922,0.445098,0.868627,0.703922
0.5960785,0.621569,0.586275,0.2892,0.652941,0.626819,0.739216,0.398039,0.605893,0.601961,0.507843,0.57451,0.599176,0.680392,0.601961,0.605882
0,0.339216,0.005882,0.078239,0.339216,0.340071,0.362745,0.664706,0.335348,0.331373,0.362745,0.770588,0.739216,0.354902,0.770588,0.311765
