IdealT,OtsuT,KittlerT,LloydT,SungT,RidlerT,HuangT,RameshT,Li1T,Li2T,BrinkT,KapurT,SahooT,ShanbhagT,YenT,TsaiT
0.2235294,0.288235,0.260784,0.17564,0.331373,0.289808,0.362745,0.629412,0.266043,0.276471,0.362745,0.280392,0.279947,0.221569,0.280392,0.311765
0.4235294,0.488235,0.484314,0.224742,0.511765,0.492496,0.366667,0.511765,0.410111,0.44902,0.543137,0.594118,0.598727,0.445098,0.609804,0.617647
0.4470588,0.511765,0.680392,0.283822,0.605882,0.513685,0.543137,0.535294,0.432059,0.472549,0.586275,0.680392,0.689055,0.221569,0.707843,0.531373
0.6117647,0.566667,0.723529,0.386775,0.633333,0.566253,0.562745,0.554902,0.518517,0.539216,0.586275,0.7,0.709723,0.323529,0.727451,0.594118
0.6313726,0.601961,0.684314,0.493165,0.645098,0.603087,0.621569,0.405882,0.584917,0.590196,0.433333,0.688235,0.685127,0.370588,0.692157,0.590196
0.2470588,0.354902,0.229412,0.210557,0.366667,0.36055,0.370588,0.507843,0.359084,0.347059,0.362745,0.24902,0.248916,0.358824,0.245098,0.339216
0.8156863,0.531373,0.958824,0.334188,0.966667,0.540739,0.833333,0.609804,0.383828,0.445098,0.7,0.966667,0.91987,0.068627,0.966667,0.519608
0.509804,0.55098,0.554902,0.276085,0.598039,0.552491,0.660784,0.547059,0.489616,0.519608,0.566667,0.605882,0.618579,0.378431,0.62549,0.641176
0.509804,0.511765,0.637255,0.257072,0.582353,0.513293,0.652941,0.519608,0.443507,0.476471,0.562745,0.652941,0.652817,0.311765,0.668627,0.55098
0.682353,0.672549,0.817647,0.442347,0.758824,0.674397,0.805882,0.547059,0.635121,0.64902,0.554902,0.790196,0.769298,0.319608,0.809804,0.609804
0.4509804,0.519608,0.762745,0.336747,0.7,0.521946,0.739216,0.523529,0.417964,0.460784,0.547059,0.523529,0.57078,0.186275,0.578431,0.55098
0.5529412,0.55098,0.743137,0.313486,0.656863,0.552705,0.515686,0.558824,0.468335,0.511765,0.621569,0.75098,0.753131,0.201961,0.77451,0.492157
0.6941177,0.680392,0.837255,0.473485,0.770588,0.681729,0.731373,0.554902,0.647439,0.660784,0.582353,0.786275,0.791147,0.347059,0.82549,0.629412
0.3686275,0.401961,0.331373,0.327454,0.617647,0.61707,0.645098,0.433333,0.61459,0.378431,0.496078,0.5,0.5,0.637255,0.5,0.55098
0.2666667,0.409804,0.233333,0.311834,0.398039,0.414424,0.370588,0.417647,0.353788,0.386275,0.558824,0.586275,0.588918,0.672549,0.590196,0.590196
0.7176471,0.778431,0.813725,0.646414,0.798039,0.780022,0.805882,0.417647,0.778608,0.77451,0.598039,0.543137,0.698381,0.723529,0.707843,0.758824
0.372549,0.476471,0.590196,0.242645,0.547059,0.478345,0.507843,0.5,0.396864,0.433333,0.543137,0.609804,0.613195,0.194118,0.633333,0.535294
0.6509804,0.747059,0.790196,0.694785,0.766667,0.748818,0.75098,0.472549,0.734507,0.739216,0.786275,0.860784,0.859891,0.598039,0.860784,0.852941
0.3490196,0.417647,0.339216,0.316913,0.421569,0.422891,0.433333,0.605882,0.422133,0.417647,0.362745,0.366667,0.369918,0.421569,0.362745,0.413725
0.2980392,0.37451,0.37451,0.191477,0.413725,0.37567,0.405882,0.401961,0.324371,0.35098,0.394118,0.394118,0.407201,0.237255,0.409804,0.433333
0,0.331373,0.005882,0.195755,0.3,0.330805,0.656863,0.496078,0.203971,0.280392,0.476471,0.609804,0.569427,0.62549,0.62549,0.507843
0.5254902,0.617647,0.82549,0.614636,0.621569,0.614636,0.609804,0.319608,0.616577,0.613725,0.456863,0.523529,0.653323,0.613725,0.523529,0.637255
0.8588235,0.660784,0.994118,0.475149,0.868627,0.661754,0.770588,0.656863,0.580844,0.62549,0.758824,0.943137,0.906782,0.323529,0.943137,0.605882
0.7647059,0.594118,0.986275,0.399071,0.743137,0.594796,0.217647,0.601961,0.496887,0.535294,0.727451,0.935294,0.903709,0.276471,0.935294,0.594118
0.5921569,0.547059,0.978431,0.332921,0.711765,0.625548,0.872549,0.605882,0.44436,0.492157,0.594118,0.868627,0.753925,0.217647,0.868627,0.594118
0.2431373,0.37451,0.205882,0.191349,0.37451,0.375881,0.398039,0.613725,0.373976,0.37451,0.362745,0.217647,0.29395,0.37451,0.3,0.362745
0.3960784,0.676471,0.864706,0.591258,0.845098,0.67842,0.892157,0.62549,0.630697,0.645098,0.696078,0.782353,0.85393,0.707843,0.864706,0.77451
0.7019608,0.692157,0.743137,0.477054,0.747059,0.69373,0.801961,0.554902,0.663085,0.672549,0.586275,0.586275,0.586275,0.441176,0.586275,0.703922
0.02745098,0.378431,0.064706,0.241693,0.366667,0.378626,0.166667,0.633333,0.232381,0.319608,0.594118,0.907843,0.715483,0.739216,0.907843,0.566667
0.6470588,0.692157,0.739216,0.628275,0.715686,0.693993,0.692157,0.409804,0.677126,0.684314,0.766667,0.386275,0.394109,0.864706,0.370588,0.82549
0.8078431,0.778431,0.821569,0.693877,0.821569,0.779528,0.892157,0.468627,0.76865,0.770588,0.629412,0.766667,0.777953,0.570588,0.782353,0.794118
0.3803922,0.492157,0.429412,0.354501,0.515686,0.500578,0.535294,0.362745,0.492842,0.484314,0.394118,0.429412,0.432248,0.496078,0.421569,0.488235
0.5411765,0.547059,0.598039,0.303449,0.598039,0.548387,0.496078,0.554902,0.46931,0.507843,0.590196,0.645098,0.647427,0.37451,0.652941,0.645098
0.7411765,0.747059,0.77451,0.701884,0.770588,0.747602,0.754902,0.468627,0.743991,0.743137,0.601961,0.758824,0.761361,0.629412,0.762745,0.762745
0.4941176,0.680392,0.84902,0.63529,0.852941,0.681226,0.935294,0.680392,0.651276,0.660784,0.739216,0.84902,0.848111,0.786275,0.84902,0.798039
0,0.339216,0.005882,0.078028,0.347059,0.344484,0.382353,0.668627,0.33537,0.335294,0.362745,0.719608,0.696095,0.354902,0.75098,0.323529
0.227451,0.484314,0.566667,0.391344,0.511765,0.48474,0.484314,0.484314,0.446234,0.464706,0.421569,0.539216,0.473986,0.382353,0.229412,0.468627
0.3882353,0.472549,0.527451,0.289746,0.515686,0.478052,0.519608,0.405882,0.449778,0.460784,0.405882,0.445098,0.472108,0.339216,0.480392,0.472549
0.4745098,0.476471,0.582353,0.285677,0.527451,0.478306,0.488235,0.480392,0.427721,0.452941,0.472549,0.57451,0.584964,0.35098,0.601961,0.511765
0.3882353,0.464706,0.590196,0.335396,0.55098,0.46609,0.480392,0.468627,0.411069,0.437255,0.527451,0.582353,0.57887,0.17451,0.582353,0.511765
0.6470588,0.62549,0.707843,0.554996,0.688235,0.626823,0.7,0.480392,0.608344,0.613725,0.601961,0.684314,0.683425,0.386275,0.684314,0.680392
0,0.22549,0.005882,0.222265,0.22549,0.222265,0.233333,0.590196,0.214512,0.217647,0.347059,0.62549,0.609812,0.237255,0.64902,0.217647
0.7372549,0.731373,0.770588,0.513155,0.778431,0.733211,0.82549,0.566667,0.713108,0.719608,0.609804,0.629412,0.629412,0.656863,0.629412,0.727451
0.4235294,0.503922,0.617647,0.234702,0.570588,0.507796,0.617647,0.519608,0.437837,0.468627,0.566667,0.617647,0.621934,0.245098,0.637255,0.554902
0.5686275,0.727451,0.876471,0.68851,0.876471,0.729305,0.947059,0.727451,0.70594,0.711765,0.782353,0.868627,0.865601,0.813725,0.868627,0.829412
0.1607843,0.507843,0.605882,0.630663,0.535294,0.508255,0.723529,0.507843,0.46784,0.488235,0.323529,0.35098,0.251629,0.201961,0.213725,0.331373
0.6078432,0.582353,0.664706,0.469404,0.62549,0.581202,0.598039,0.535294,0.561396,0.570588,0.562745,0.660784,0.667941,0.370588,0.676471,0.586275
0.01568628,0.452941,0.037255,0.307156,0.001961,0.455716,0.452941,0.817647,0.269415,0.37451,0.75098,0.876471,0.88763,0.903922,0.9,0.696078
0.7568628,0.719608,0.539216,0.546799,0.727451,0.724462,0.727451,0.378431,0.723648,0.719608,0.586275,0.594118,0.594118,0.719608,0.594118,0.7
0.6588235,0.598039,0.680392,0.379154,0.660784,0.599662,0.688235,0.507843,0.56046,0.57451,0.511765,0.676471,0.685766,0.386275,0.696078,0.601961
0.5764706,0.758824,0.986275,0.687917,0.892157,0.760748,0.962745,0.703922,0.735969,0.743137,0.743137,0.829412,0.863498,0.660784,0.868627,0.837255
0.1686275,0.198039,0.166667,0.15156,0.198039,0.203428,0.198039,0.496078,0.203193,0.198039,0.260784,0.284314,0.280392,0.343137,0.284314,0.190196
0.5450981,0.629412,0.715686,0.582791,0.680392,0.631227,0.856863,0.609804,0.602408,0.613725,0.727451,0.770588,0.770588,0.845098,0.770588,0.786275
0.7882353,0.621569,0.994118,0.440185,0.919608,0.621865,0.884314,0.652941,0.541471,0.57451,0.766667,0.998039,0.819457,0.119608,0.998039,0.535294
0.3372549,0.382353,0.707843,0.035294,0.37451,0.38346,0.335294,0.601961,0.367031,0.37451,0.366667,0.535294,0.411999,0.311765,0.370588,0.468627
0.2352941,0.292157,0.147059,0.221991,0.205882,0.503116,0.527451,0.394118,0.500747,0.268627,0.398039,0.390196,0.390196,0.515686,0.390196,0.441176
0.3098039,0.586275,0.472549,0.445203,0.719608,0.591362,0.57451,0.598039,0.526086,0.554902,0.633333,0.707843,0.724265,0.641176,0.731373,0.711765
0.3372549,0.605882,0.77451,0.003922,0.688235,0.607497,0.727451,0.445098,0.564334,0.582353,0.409804,0.378431,0.391542,0.260784,0.394118,0.5
0.4117647,0.692157,0.809804,0.801214,0.735294,0.692228,0.743137,0.3,0.677017,0.684314,0.386275,0.280392,0.435106,0.507843,0.441176,0.562745
0.654902,0.637255,0.656863,0.587763,0.672549,0.639143,0.735294,0.42549,0.633744,0.633333,0.543137,0.480392,0.6466,0.280392,0.64902,0.672549
0.3647059,0.370588,0.343137,0.17202,0.394118,0.372469,0.327451,0.503922,0.2849,0.335294,0.452941,0.472549,0.515729,0.543137,0.535294,0.476471
0.372549,0.398039,0.37451,0.164117,0.437255,0.398904,0.452941,0.476471,0.324004,0.362745,0.441176,0.44902,0.482995,0.480392,0.492157,0.480392
0.6,0.641176,0.394118,0.392157,0.645098,0.644326,0.652941,0.390196,0.642836,0.641176,0.484314,0.598039,0.601073,0.637255,0.605882,0.629412
0.6352941,0.601961,0.629412,0.523543,0.641176,0.607767,0.75098,0.472549,0.592419,0.598039,0.562745,0.64902,0.648227,0.456863,0.641176,0.676471
0.7411765,0.696078,0.856863,0.50967,0.801961,0.697726,0.731373,0.590196,0.617702,0.676471,0.629412,0.645098,0.831641,0.303922,0.852941,0.656863
0.6745098,0.543137,0.978431,0.344897,0.723529,0.542595,0.037255,0.684314,0.418074,0.480392,0.707843,0.907843,0.765964,0.170588,0.907843,0.633333
